P_ID,P_Name,Category,Specs,Price,Nro_Ope,Edad_Prom,Flg_Hombre,Flg_Mujer,Per_VenL,Mes_Lanza,Prod_Rat,Flg_M5_post,Und_M6,Und_Ven,Afin_Hombre,Afin_Mujer,Edad_Pts,MesL_Pts,Grupo_Specs,Nom_Gru_Specs,Rango_Precio,Val_Ran_Precio,C1_Rat,C3_Ven,Flag_Exito,Flag_Exito2,Flag_Exito3,Flag_Exito4,Flag_Exito5,Flag_Exito6,Flag_Exito7
PD_21003377,Suggest,2,question,66.24,6,46,0,1,202306,6,2.33,1,17,45,0.0,0.498,1,0,0.0,0: Sin valor temático,De s/10 a s/100,1,0,0,0,0,0,0,1,0,0
PD_21000492,Relate,3,win,319.03,2,53,1,1,202306,6,2.5,1,7,7,0.5248,0.5248,3,2,0.0,0: Sin valor temático,De s/301 a s/400,4,0,1,0,0,0,1,1,1,0
PD_21002453,Score,2,word,418.39,2,31,1,0,202307,7,0.5,1,15,15,0.498,0.0,6,-1,0.0,0: Sin valor temático,De s/401 a s/500,5,0,1,0,0,0,1,1,1,0
PD_21000005,Attention,4,conference,71.29,4,48,1,0,202401,1,2.75,1,10,21,0.5274,0.0,3,5,5.0,5: Entorno social,De s/10 a s/100,1,0,0,0,0,0,0,1,0,0
PD_21000951,Dream,1,none,174.82,2,43,1,0,202402,2,0.5,1,7,7,0.4976,0.0,2,2,0.0,0: Sin valor temático,De s/101 a s/200,2,0,1,0,0,0,1,1,1,0
PD_21005616,New,3,project,479.25,4,26,0,1,202301,1,4.0,1,12,24,0.0,0.5248,7,2,10.0,10: Innovación,De s/401 a s/500,5,1,1,1,1,1,1,1,1,1
PD_21006247,Scene,2,message,284.17,5,52,1,1,202306,6,3.2,1,11,32,0.498,0.498,2,0,4.0,4: Entorno laboral,De s/201 a s/300,3,1,0,0,1,1,0,1,0,0
PD_21006308,Throughout,3,south,445.86,3,43,1,0,202406,6,2.33,1,5,7,0.5248,0.0,4,2,0.0,0: Sin valor temático,De s/401 a s/500,5,0,1,0,0,0,1,1,1,0
PD_21008064,Like,3,black,144.45,4,46,0,1,202308,8,2.5,1,14,26,0.0,0.5248,4,5,8.0,8: Cuidado personal,De s/101 a s/200,2,0,1,0,0,0,1,1,1,0
PD_21009030,Or,3,raise,156.88,4,37,1,1,202312,12,2.5,1,9,18,0.5248,0.5248,2,2,0.0,0: Sin valor temático,De s/101 a s/200,2,0,1,0,0,0,1,1,1,0
PD_21009835,Institution,2,detail,271.9,5,38,0,1,202404,4,3.4,1,8,19,0.0,0.498,3,5,0.0,0: Sin valor temático,De s/201 a s/300,3,1,0,0,1,1,0,1,0,0
PD_21009247,Physical,3,resource,187.25,2,46,1,0,202406,6,0.5,1,18,18,0.5248,0.0,4,2,5.0,5: Entorno social,De s/101 a s/200,2,0,1,0,0,0,1,1,1,0
PD_21009717,Wind,3,rise,85.46,3,50,1,1,202407,7,2.33,1,13,23,0.5248,0.5248,3,2,0.0,0: Sin valor temático,De s/10 a s/100,1,0,1,0,0,0,1,1,1,0
PD_21003441,Affect,4,mother,222.5,9,40,1,1,202301,1,1.56,1,39,55,0.5274,0.5274,2,5,3.0,3: Entorno familiar,De s/201 a s/300,3,0,1,0,0,0,1,1,1,0
PD_21001988,Office,4,film,230.13,3,28,1,0,202405,5,2.33,1,6,10,0.5274,0.0,7,-1,5.0,5: Entorno social,De s/201 a s/300,3,0,1,0,0,0,1,1,1,0
PD_21004510,Possible,3,thus,398.27,3,45,1,1,202308,8,1.67,1,10,16,0.5248,0.5248,4,5,0.0,0: Sin valor temático,De s/301 a s/400,4,0,1,0,0,0,1,1,1,0
PD_21000855,Section,0,listen,63.13,4,42,1,1,202404,4,2.75,1,10,28,0.4954,0.4954,4,2,0.0,0: Sin valor temático,De s/10 a s/100,1,0,0,0,0,0,0,1,0,0
PD_21001794,Debate,4,adult,23.68,4,46,1,1,202307,7,2.0,1,12,29,0.5274,0.5274,3,-1,4.0,4: Entorno laboral,De s/10 a s/100,1,0,0,0,0,0,0,1,0,0
PD_21006304,If,3,lose,374.34,4,38,1,1,202303,3,0.5,1,33,32,0.5248,0.5248,2,2,0.0,0: Sin valor temático,De s/301 a s/400,4,0,1,0,0,0,1,1,1,0
PD_21003042,Success,2,little,92.16,2,56,1,1,202305,5,1.0,1,18,18,0.498,0.498,4,-1,0.0,0: Sin valor temático,De s/10 a s/100,1,0,1,0,0,0,1,1,1,0
PD_21006850,Season,3,determine,219.95,7,33,1,1,202308,8,2.14,1,33,55,0.5248,0.5248,7,5,0.0,0: Sin valor temático,De s/201 a s/300,3,0,1,0,0,0,1,1,1,0
PD_21005452,Brother,0,together,144.68,2,49,1,0,202406,6,3.5,1,10,10,0.4954,0.0,2,2,0.0,0: Sin valor temático,De s/101 a s/200,2,1,1,1,1,1,1,1,1,1
PD_21004195,Pm,3,on,293.33,3,36,1,1,202404,4,3.67,1,26,17,0.5248,0.5248,2,5,0.0,0: Sin valor temático,De s/201 a s/300,3,1,1,1,1,1,1,1,1,1
PD_21003391,Include,4,policy,354.43,3,38,0,1,202401,1,3.67,1,15,25,0.0,0.5274,2,5,5.0,5: Entorno social,De s/301 a s/400,4,1,1,1,1,1,1,1,1,1
PD_21005766,Appear,2,impact,109.31,3,40,0,1,202304,4,3.33,1,16,21,0.0,0.498,3,5,2.0,2: Desarrollo personal,De s/101 a s/200,2,1,1,1,1,1,1,1,1,1
PD_21006377,Republican,1,effort,49.01,2,39,1,1,202310,10,2.0,1,11,11,0.4976,0.4976,4,4,2.0,2: Desarrollo personal,De s/10 a s/100,1,0,1,0,0,0,1,1,1,0
PD_21002053,Loss,1,decision,120.14,3,57,0,1,202305,5,3.33,1,6,7,0.0,0.4976,1,2,0.0,0: Sin valor temático,De s/101 a s/200,2,1,1,1,1,1,1,1,1,1
PD_21009938,Forward,3,two,199.65,4,54,1,1,202304,4,3.75,1,15,19,0.5248,0.5248,3,5,0.0,0: Sin valor temático,De s/101 a s/200,2,1,1,1,1,1,1,1,1,1
PD_21006939,Crime,1,sing,94.34,4,46,1,1,202406,6,2.0,1,23,29,0.4976,0.4976,2,2,0.0,0: Sin valor temático,De s/10 a s/100,1,0,1,0,0,0,1,1,1,0
PD_21009436,Young,4,play,499.52,3,41,1,1,202401,1,2.67,1,17,18,0.5274,0.5274,2,5,0.0,0: Sin valor temático,De s/401 a s/500,5,0,1,0,0,0,1,1,1,0
PD_21009652,How,0,early,389.92,6,48,1,1,202306,6,2.0,1,12,24,0.4954,0.4954,4,2,0.0,0: Sin valor temático,De s/301 a s/400,4,0,1,0,0,0,1,1,1,0
PD_21005925,Attorney,0,left,244.19,5,47,1,1,202302,2,0.6,1,18,36,0.4954,0.4954,4,1,0.0,0: Sin valor temático,De s/201 a s/300,3,0,1,0,0,0,1,1,1,0
PD_21006020,Face,1,do,474.68,3,47,1,0,202312,12,3.0,1,4,5,0.4976,0.0,2,2,0.0,0: Sin valor temático,De s/401 a s/500,5,1,1,1,1,1,1,1,1,1
PD_21007752,Public,0,discover,112.2,9,50,1,1,202302,2,2.44,1,7,41,0.4954,0.4954,2,1,0.0,0: Sin valor temático,De s/101 a s/200,2,0,0,0,0,0,0,1,0,0
PD_21000839,Might,4,level,189.49,5,31,1,0,202311,11,1.2,1,9,23,0.5274,0.0,7,-4,2.0,2: Desarrollo personal,De s/101 a s/200,2,0,0,0,0,0,0,1,0,0
PD_21007420,Learn,4,sport,467.06,4,43,1,0,202407,7,4.5,1,7,11,0.5274,0.0,3,-1,9.0,9: Instituciones,De s/401 a s/500,5,1,1,1,1,1,1,1,1,1
PD_21008488,Very,0,north,151.07,5,50,0,1,202307,7,4.2,1,13,37,0.0,0.4954,2,5,0.0,0: Sin valor temático,De s/101 a s/200,2,1,0,0,1,1,0,1,0,0
PD_21003142,Successful,3,assume,106.9,2,49,1,0,202309,9,1.0,1,8,8,0.5248,0.0,3,2,0.0,0: Sin valor temático,De s/101 a s/200,2,0,1,0,0,0,1,1,1,0
PD_21005709,School,0,sound,244.57,6,44,1,1,202308,8,1.5,1,10,37,0.4954,0.4954,4,2,2.0,2: Desarrollo personal,De s/201 a s/300,3,0,0,0,0,0,0,1,0,0
PD_21004221,Experience,0,husband,70.34,4,57,1,1,202304,4,2.25,1,16,28,0.4954,0.4954,1,2,3.0,3: Entorno familiar,De s/10 a s/100,1,0,1,0,0,0,1,1,1,0
PD_21008856,Heart,2,sound,175.61,2,47,1,1,202305,5,1.5,1,5,5,0.498,0.498,1,-1,2.0,2: Desarrollo personal,De s/101 a s/200,2,0,1,0,0,0,1,1,1,0
PD_21005303,Miss,0,ago,400.08,3,55,1,1,202307,7,0.67,1,17,25,0.4954,0.4954,2,5,0.0,0: Sin valor temático,De s/401 a s/500,5,0,1,0,0,0,1,1,1,0
PD_21001502,Property,4,page,19.18,5,32,1,0,202311,11,3.0,1,11,14,0.5274,0.0,7,-4,1.0,1: Arte y creatividad,De s/10 a s/100,1,1,1,1,1,1,1,1,1,1
PD_21002897,Third,2,staff,417.53,6,37,1,1,202310,10,2.0,1,11,27,0.498,0.498,3,5,4.0,4: Entorno laboral,De s/401 a s/500,5,0,0,0,0,0,0,1,0,0
PD_21004456,Southern,3,a,499.95,7,39,1,1,202302,2,2.57,1,20,36,0.5248,0.5248,2,-1,0.0,0: Sin valor temático,De s/401 a s/500,5,0,1,0,0,0,1,1,1,0
PD_21000039,South,0,run,142.34,3,45,1,1,202307,7,1.67,1,14,18,0.4954,0.4954,4,5,0.0,0: Sin valor temático,De s/101 a s/200,2,0,1,0,0,0,1,1,1,0
PD_21000157,Gas,4,many,113.42,5,67,1,0,202311,11,2.4,1,5,14,0.5274,0.0,5,-4,0.0,0: Sin valor temático,De s/101 a s/200,2,0,0,0,0,0,0,1,0,0
PD_21001317,Music,0,single,388.05,5,45,1,0,202311,11,3.0,1,6,9,0.4954,0.0,4,2,4.0,4: Entorno laboral,De s/301 a s/400,4,1,1,1,1,1,1,1,1,1
PD_21000570,Treatment,2,answer,33.79,7,32,1,1,202404,4,3.29,1,20,54,0.498,0.498,6,5,2.0,2: Desarrollo personal,De s/10 a s/100,1,1,0,0,1,1,0,1,0,0
PD_21007358,Spring,3,second,474.69,2,45,1,0,202302,2,1.5,1,10,10,0.5248,0.0,4,-1,0.0,0: Sin valor temático,De s/401 a s/500,5,0,1,0,0,0,1,1,1,0
PD_21007180,Check,1,these,453.83,3,47,1,1,202404,4,4.33,1,21,16,0.4976,0.4976,2,2,0.0,0: Sin valor temático,De s/401 a s/500,5,1,1,1,1,1,1,1,1,1
PD_21008439,Month,4,follow,209.91,2,65,1,1,202409,9,0.5,1,7,7,0.5274,0.5274,5,2,0.0,0: Sin valor temático,De s/201 a s/300,3,0,1,0,0,0,1,1,1,0
PD_21003683,Artist,2,organization,20.04,6,43,1,1,202309,9,3.67,1,15,51,0.498,0.498,1,5,5.0,5: Entorno social,De s/10 a s/100,1,1,0,0,1,1,0,1,0,0
PD_21009087,Marriage,0,another,401.98,2,45,1,1,202401,1,1.5,1,4,4,0.4954,0.4954,4,1,0.0,0: Sin valor temático,De s/401 a s/500,5,0,1,0,0,0,1,1,1,0
PD_21000213,Cold,4,myself,230.22,4,28,1,1,202407,7,2.25,1,13,26,0.5274,0.5274,7,-1,0.0,0: Sin valor temático,De s/201 a s/300,3,0,1,0,0,0,1,1,1,0
PD_21000970,Threat,2,leader,393.28,5,39,0,1,202409,9,2.6,1,18,48,0.0,0.498,3,5,4.0,4: Entorno laboral,De s/301 a s/400,4,0,0,0,0,0,0,1,0,0
PD_21004804,Argue,3,mind,151.64,7,34,1,1,202308,8,2.43,1,10,40,0.5248,0.5248,7,5,7.0,7: Gestión emocional,De s/101 a s/200,2,0,0,0,0,0,0,1,0,0
PD_21007860,Local,2,race,284.06,4,51,1,1,202305,5,1.75,1,17,29,0.498,0.498,2,-1,5.0,5: Entorno social,De s/201 a s/300,3,0,1,0,0,0,1,1,1,0
PD_21000424,Manager,1,from,276.25,5,34,1,1,202306,6,2.0,1,13,23,0.4976,0.4976,7,2,0.0,0: Sin valor temático,De s/201 a s/300,3,0,1,0,0,0,1,1,1,0
PD_21007267,President,3,according,353.94,2,61,1,1,202310,10,4.5,1,14,14,0.5248,0.5248,1,2,0.0,0: Sin valor temático,De s/301 a s/400,4,1,1,1,1,1,1,1,1,1
PD_21009078,Bill,3,teach,263.22,3,42,1,0,202403,3,2.67,1,8,14,0.5248,0.0,4,2,0.0,0: Sin valor temático,De s/201 a s/300,3,0,1,0,0,0,1,1,1,0
PD_21003600,Employee,3,practice,452.08,3,59,1,1,202301,1,2.0,1,6,7,0.5248,0.5248,1,2,0.0,0: Sin valor temático,De s/401 a s/500,5,0,1,0,0,0,1,1,1,0
PD_21008500,Action,0,edge,372.49,4,25,1,1,202309,9,1.5,1,17,30,0.4954,0.4954,6,5,2.0,2: Desarrollo personal,De s/301 a s/400,4,0,1,0,0,0,1,1,1,0
PD_21001290,Through,3,turn,407.54,5,52,1,1,202310,10,2.8,1,8,23,0.5248,0.5248,3,2,2.0,2: Desarrollo personal,De s/401 a s/500,5,0,0,0,0,0,0,1,0,0
PD_21009215,Dinner,2,station,262.55,3,47,1,1,202302,2,1.0,1,13,22,0.498,0.498,1,2,6.0,6: Hogar,De s/201 a s/300,3,0,1,0,0,0,1,1,1,0
PD_21006375,National,1,senior,57.37,4,53,1,1,202307,7,3.5,1,9,16,0.4976,0.4976,3,0,0.0,0: Sin valor temático,De s/10 a s/100,1,1,1,1,1,1,1,1,1,1
PD_21006570,Once,2,strong,265.63,2,33,0,1,202305,5,1.5,1,13,13,0.0,0.498,6,-1,2.0,2: Desarrollo personal,De s/201 a s/300,3,0,1,0,0,0,1,1,1,0
PD_21004407,Fund,2,law,135.53,4,52,0,1,202306,6,2.0,1,9,25,0.0,0.498,2,0,9.0,9: Instituciones,De s/101 a s/200,2,0,0,0,0,0,0,1,0,0
PD_21000073,Their,4,next,112.71,2,22,1,0,202311,11,5.0,0,10,20,0.5274,0.0,6,-4,0.0,0: Sin valor temático,De s/101 a s/200,2,1,1,0,0,1,0,0,1,1
PD_21002697,Maybe,1,team,447.96,2,25,0,1,202302,2,2.0,0,5,10,0.0,0.4976,6,2,3.0,3: Entorno familiar,De s/401 a s/500,5,0,1,0,0,0,0,0,1,0
PD_21003099,Wear,0,film,470.39,1,32,0,1,202310,10,2.0,0,7,7,0.0,0.4954,7,5,5.0,5: Entorno social,De s/401 a s/500,5,0,1,0,0,0,0,0,1,0
PD_21003144,Opportunity,1,structure,428.67,3,39,0,1,202301,1,1.33,0,1,10,0.0,0.4976,4,5,10.0,10: Innovación,De s/401 a s/500,5,0,0,0,0,0,0,0,0,0
PD_21003420,Yet,2,brother,155.11,1,41,1,0,202303,3,5.0,0,4,4,0.498,0.0,3,2,3.0,3: Entorno familiar,De s/101 a s/200,2,1,1,0,0,1,0,0,1,1
PD_21003575,Organization,4,successful,82.37,5,42,1,0,202301,1,3.0,0,1,10,0.5274,0.0,3,5,7.0,7: Gestión emocional,De s/10 a s/100,1,1,0,0,0,1,0,0,0,0
PD_21003921,Song,2,real,492.39,3,35,1,1,202303,3,3.0,0,5,14,0.498,0.498,3,2,7.0,7: Gestión emocional,De s/401 a s/500,5,1,0,0,0,1,0,0,0,0
PD_21005758,Health,0,local,338.33,4,53,1,1,202305,5,1.75,1,15,21,0.4954,0.4954,2,6,6.0,6: Hogar,De s/301 a s/400,4,0,1,0,0,0,1,1,1,0
PD_21006175,Hope,4,table,465.77,1,55,1,0,202412,12,2.0,0,4,4,0.5274,0.0,4,1,4.0,4: Entorno laboral,De s/401 a s/500,5,0,1,0,0,0,0,0,1,0
PD_21006538,Bed,2,ok,39.0,4,50,1,1,202306,6,2.25,0,5,22,0.498,0.498,2,0,0.0,0: Sin valor temático,De s/10 a s/100,1,0,0,0,0,0,0,0,0,0
