P_ID,P_Name,Category,Specs,Price,Nro_Ope,Edad_Prom,Flg_Hombre,Flg_Mujer,Per_VenL,Mes_Lanza,Prod_Rat,Flg_M5_post,Und_M6,Und_Ven,Afin_Hombre,Afin_Mujer,Edad_Pts,MesL_Pts
PD_21009938,Forward,Fitness,two,199.65,4,54,1,1,202304,4,3.75,1,15,19,0.5248,0.5248,3,5
PD_21006939,Crime,Electronics,sing,94.34,4,46,1,1,202406,6,2,1,23,29,0.4976,0.4976,2,2
PD_21009436,Young,"Home Appliance",play,499.52,3,41,1,1,202401,1,2.67,1,17,18,0.5274,0.5274,2,5
PD_21009652,How,Books,early,389.92,6,48,1,1,202306,6,2,1,12,24,0.4954,0.4954,4,2
PD_21005925,Attorney,Books,left,244.19,5,47,1,1,202302,2,0.6,1,18,36,0.4954,0.4954,4,1
PD_21006020,Face,Electronics,do,474.68,3,47,1,0,202312,12,3,1,4,5,0.4976,0.0000,2,2
PD_21007752,Public,Books,discover,112.2,9,50,1,1,202302,2,2.44,1,7,41,0.4954,0.4954,2,1
PD_21000839,Might,"Home Appliance",level,189.49,5,31,1,0,202311,11,1.2,1,9,23,0.5274,0.0000,7,-4
PD_21007420,Learn,"Home Appliance",sport,467.06,4,43,1,0,202407,7,4.5,1,7,11,0.5274,0.0000,3,-1
PD_21008488,Very,Books,north,151.07,5,50,0,1,202307,7,4.2,1,13,37,0.0000,0.4954,2,5
PD_21003142,Successful,Fitness,assume,106.9,2,49,1,0,202309,9,1,1,8,8,0.5248,0.0000,3,2
PD_21005709,School,Books,sound,244.57,6,44,1,1,202308,8,1.5,1,10,37,0.4954,0.4954,4,2
PD_21004221,Experience,Books,husband,70.34,4,57,1,1,202304,4,2.25,1,16,28,0.4954,0.4954,1,2
PD_21008856,Heart,Fashion,sound,175.61,2,47,1,1,202305,5,1.5,1,5,5,0.4980,0.4980,1,-1
PD_21005303,Miss,Books,ago,400.08,3,55,1,1,202307,7,0.67,1,17,25,0.4954,0.4954,2,5
PD_21001502,Property,"Home Appliance",page,19.18,5,32,1,0,202311,11,3,1,11,14,0.5274,0.0000,7,-4
PD_21002897,Third,Fashion,staff,417.53,6,37,1,1,202310,10,2,1,11,27,0.4980,0.4980,3,5
PD_21004456,Southern,Fitness,a,499.95,7,39,1,1,202302,2,2.57,1,20,36,0.5248,0.5248,2,-1
PD_21000039,South,Books,run,142.34,3,45,1,1,202307,7,1.67,1,14,18,0.4954,0.4954,4,5
PD_21000157,Gas,"Home Appliance",many,113.42,5,67,1,0,202311,11,2.4,1,5,14,0.5274,0.0000,5,-4
PD_21001317,Music,Books,single,388.05,5,45,1,0,202311,11,3,1,6,9,0.4954,0.0000,4,2
PD_21000570,Treatment,Fashion,answer,33.79,7,32,1,1,202404,4,3.29,1,20,54,0.4980,0.4980,6,5
PD_21007358,Spring,Fitness,second,474.69,2,45,1,0,202302,2,1.5,1,10,10,0.5248,0.0000,4,-1
PD_21007180,Check,Electronics,these,453.83,3,47,1,1,202404,4,4.33,1,21,16,0.4976,0.4976,2,2
PD_21008439,Month,"Home Appliance",follow,209.91,2,65,1,1,202409,9,0.5,1,7,7,0.5274,0.5274,5,2
PD_21003683,Artist,Fashion,organization,20.04,6,43,1,1,202309,9,3.67,1,15,51,0.4980,0.4980,1,5
PD_21009087,Marriage,Books,another,401.98,2,45,1,1,202401,1,1.5,1,4,4,0.4954,0.4954,4,1
PD_21000213,Cold,"Home Appliance",myself,230.22,4,28,1,1,202407,7,2.25,1,13,26,0.5274,0.5274,7,-1
PD_21000970,Threat,Fashion,leader,393.28,5,39,0,1,202409,9,2.6,1,18,48,0.0000,0.4980,3,5
PD_21004804,Argue,Fitness,mind,151.64,7,34,1,1,202308,8,2.43,1,10,40,0.5248,0.5248,7,5
PD_21007860,Local,Fashion,race,284.06,4,51,1,1,202305,5,1.75,1,17,29,0.4980,0.4980,2,-1
PD_21000424,Manager,Electronics,from,276.25,5,34,1,1,202306,6,2,1,13,23,0.4976,0.4976,7,2
PD_21007267,President,Fitness,according,353.94,2,61,1,1,202310,10,4.5,1,14,14,0.5248,0.5248,1,2
PD_21009078,Bill,Fitness,teach,263.22,3,42,1,0,202403,3,2.67,1,8,14,0.5248,0.0000,4,2
PD_21003600,Employee,Fitness,practice,452.08,3,59,1,1,202301,1,2,1,6,7,0.5248,0.5248,1,2
PD_21008500,Action,Books,edge,372.49,4,25,1,1,202309,9,1.5,1,17,30,0.4954,0.4954,6,5
PD_21001290,Through,Fitness,turn,407.54,5,52,1,1,202310,10,2.8,1,8,23,0.5248,0.5248,3,2
PD_21009215,Dinner,Fashion,station,262.55,3,47,1,1,202302,2,1,1,13,22,0.4980,0.4980,1,2
PD_21006375,National,Electronics,senior,57.37,4,53,1,1,202307,7,3.5,1,9,16,0.4976,0.4976,3,0
PD_21006570,Once,Fashion,strong,265.63,2,33,0,1,202305,5,1.5,1,13,13,0.0000,0.4980,6,-1
PD_21004407,Fund,Fashion,law,135.53,4,52,0,1,202306,6,2,1,9,25,0.0000,0.4980,2,0
PD_21000073,Their,"Home Appliance",next,112.71,2,22,1,0,202311,11,5,0,10,20,0.5274,0.0000,6,-4
PD_21002697,Maybe,Electronics,team,447.96,2,25,0,1,202302,2,2,0,5,10,0.0000,0.4976,6,2
PD_21003099,Wear,Books,film,470.39,1,32,0,1,202310,10,2,0,7,7,0.0000,0.4954,7,5
PD_21003144,Opportunity,Electronics,structure,428.67,3,39,0,1,202301,1,1.33,0,1,10,0.0000,0.4976,4,5
PD_21003420,Yet,Fashion,brother,155.11,1,41,1,0,202303,3,5,0,4,4,0.4980,0.0000,3,2
PD_21003575,Organization,"Home Appliance",successful,82.37,5,42,1,0,202301,1,3,0,1,10,0.5274,0.0000,3,5
PD_21003921,Song,Fashion,real,492.39,3,35,1,1,202303,3,3,0,5,14,0.4980,0.4980,3,2
PD_21005758,Health,Books,local,338.33,4,53,1,1,202305,5,1.75,1,15,21,0.4954,0.4954,2,6
PD_21006175,Hope,"Home Appliance",table,465.77,1,55,1,0,202412,12,2,0,4,4,0.5274,0.0000,4,1
PD_21006538,Bed,Fashion,ok,39,4,50,1,1,202306,6,2.25,0,5,22,0.4980,0.4980,2,0
PD_21006873,Especially,"Home Appliance",become,429.79,1,50,1,0,202303,3,2,0,5,5,0.5274,0.0000,4,-1
PD_21007443,Sea,"Home Appliance",enjoy,234.48,4,33,1,1,202305,5,1.5,0,10,30,0.5274,0.5274,7,-1
PD_21007712,Support,Fitness,ready,374.21,1,41,1,0,202404,4,2,0,6,6,0.5248,0.0000,2,5
PD_21007853,Specific,Electronics,national,297.31,2,30,1,0,202409,9,4,0,5,10,0.4976,0.0000,7,2
PD_21008416,International,Fitness,such,306.26,1,55,1,0,202410,10,5,0,7,7,0.5248,0.0000,3,2
PD_21008452,Knowledge,Fitness,happy,104.8,4,27,0,1,202303,3,3,0,1,16,0.0000,0.5248,7,2
PD_21008614,Change,Fitness,prove,439.48,2,50,1,0,202305,5,2.5,0,9,18,0.5248,0.0000,3,-1
PD_21009841,House,Electronics,pattern,332.88,6,42,1,1,202308,8,2.67,0,10,47,0.4976,0.4976,2,4
PD_21009877,One,"Home Appliance",government,391.75,5,61,1,0,202302,2,3.2,0,1,28,0.5274,0.0000,1,2
PD_21000539,Site,Electronics,relate,436.4,4,47,1,1,202311,11,3.75,0,4,18,0.4976,0.4976,2,-1
PD_21000735,Rate,Fitness,trip,487.26,2,31,1,1,202311,11,3,0,9,13,0.5248,0.5248,7,-1
PD_21000757,Majority,"Home Appliance",throw,41.82,1,56,1,0,202312,12,1,0,8,8,0.5274,0.0000,1,1
PD_21005079,Decide,Electronics,opportunity,322.79,4,51,1,1,202301,1,2.75,0,5,16,0.4976,0.4976,3,5
PD_21005380,Camera,"Home Appliance",father,308.31,1,40,1,0,202312,12,4,0,10,10,0.5274,0.0000,2,1
PD_21008520,Sure,Electronics,fight,458.7,4,36,1,1,202304,4,3.25,0,2,28,0.4976,0.4976,4,2
PD_21009585,Oil,Fitness,above,142.65,2,54,0,1,202403,3,2,0,6,12,0.0000,0.5248,3,2
PD_21005755,Your,"Home Appliance",inside,128.66,5,51,1,1,202305,5,2.6,0,2,38,0.5274,0.5274,4,-1
PD_21006342,Wind,"Home Appliance",attention,380.68,3,42,1,0,202304,4,2,0,9,23,0.5274,0.0000,3,5
PD_21006634,Media,"Home Appliance",address,276.16,3,31,1,0,202305,5,3.67,0,10,25,0.5274,0.0000,7,-1
PD_21008854,Walk,Fashion,build,224.27,2,28,0,1,202305,5,3.5,0,7,11,0.0000,0.4980,6,-1
PD_21009350,Blood,Fitness,sure,314.5,3,47,0,1,202311,11,3.33,0,4,12,0.0000,0.5248,4,-1
PD_21003567,Difference,"Home Appliance",say,184.72,3,49,1,1,202312,12,1,1,8,14,0.5274,0.5274,4,1
PD_21000611,Season,"Home Appliance",among,260.67,2,40,1,0,202410,10,4.5,0,8,16,0.5274,0.0000,2,2
PD_21001059,Teach,Books,base,215.01,3,36,1,1,202301,1,2.33,0,9,16,0.4954,0.4954,3,1
PD_21001210,Himself,"Home Appliance",guess,184.05,2,37,0,1,202304,4,4,0,5,10,0.0000,0.5274,2,5
PD_21001752,Small,"Home Appliance",prevent,135.69,4,55,0,1,202401,1,2.25,0,8,32,0.0000,0.5274,4,5
PD_21001972,Purpose,Electronics,process,405.35,3,60,1,1,202306,6,0.67,0,3,8,0.4976,0.4976,1,2
PD_21003338,Ago,Fashion,another,197.86,3,33,1,0,202401,1,1,0,3,12,0.4980,0.0000,6,3
PD_21004359,Up,Fitness,significant,62.05,3,49,1,1,202301,1,1.33,0,10,25,0.5248,0.5248,3,2
PD_21004664,Since,Fashion,sister,45.99,3,46,1,0,202411,11,2,0,7,21,0.4980,0.0000,1,2
PD_21004845,Keep,Fitness,effect,228.77,4,37,0,1,202304,4,2.5,0,4,16,0.0000,0.5248,2,5
PD_21004930,Four,Books,skill,32.52,2,26,0,1,202304,4,0.5,0,2,4,0.0000,0.4954,7,2
PD_21005030,Quite,"Home Appliance",matter,375.89,3,56,1,1,202310,10,2.33,0,4,9,0.5274,0.5274,1,2
PD_21005213,Leave,Books,score,185.45,8,49,1,1,202302,2,3.25,0,4,40,0.4954,0.4954,2,1
PD_21006172,Thus,"Home Appliance",traditional,309.48,1,36,1,0,202403,3,3,0,3,3,0.5274,0.0000,2,-1
PD_21006772,Investment,Fitness,catch,261.14,2,20,0,1,202403,3,1.5,0,4,8,0.0000,0.5248,5,2
PD_21007046,Behavior,Books,bar,37.67,2,20,1,0,202412,12,4,0,6,12,0.4954,0.0000,6,0
PD_21007360,Writer,Fashion,send,296.46,2,26,0,1,202412,12,4.5,0,1,2,0.0000,0.4980,6,2
PD_21007471,Happy,"Home Appliance",top,191.91,1,62,1,0,202305,5,1,0,7,7,0.5274,0.0000,1,-1
PD_21007535,Discussion,"Home Appliance",worker,70.74,4,48,1,1,202303,3,3.5,0,16,29,0.5274,0.5274,3,-1
PD_21007727,Material,Books,behavior,46.26,2,40,0,1,202301,1,4.5,0,3,6,0.0000,0.4954,3,1
PD_21007879,Mean,Books,need,236.29,4,65,0,1,202306,6,2.25,0,4,16,0.0000,0.4954,5,2
PD_21008756,Behavior,Fashion,many,271.78,2,38,1,1,202312,12,1.5,0,6,16,0.4980,0.4980,3,2
PD_21008923,In,Fashion,because,186.29,1,62,0,1,202305,5,2,0,9,9,0.0000,0.4980,4,-1
PD_21009163,Company,Electronics,financial,456.15,3,53,0,1,202409,9,4.33,0,6,18,0.0000,0.4976,3,2
PD_21009371,All,Fashion,generation,302.56,2,29,0,1,202311,11,1.5,0,9,14,0.0000,0.4980,6,2
PD_21009730,Amount,Fashion,account,409.45,4,45,1,1,202401,1,1.25,0,4,15,0.4980,0.4980,1,3
PD_21009746,Public,Fashion,note,201.84,2,65,1,0,202409,9,2,0,6,12,0.4980,0.0000,5,5
PD_21000926,Election,Electronics,need,468.4,3,44,1,1,202303,3,1.67,0,6,18,0.4976,0.4976,2,1
PD_21004513,Spring,Books,leader,69.73,2,37,0,1,202305,5,1.5,0,3,4,0.0000,0.4954,3,6
PD_21006113,Look,Fashion,now,360.42,4,23,0,1,202402,2,3.25,0,3,12,0.0000,0.4980,7,2
PD_21006706,Guy,"Home Appliance",pattern,239.93,4,40,0,1,202302,2,2.5,0,1,21,0.0000,0.5274,2,2
PD_21006766,Agree,Electronics,collection,305.82,3,49,0,1,202304,4,1.67,0,5,23,0.0000,0.4976,3,2
PD_21008198,Analysis,Books,factor,110.7,3,67,1,0,202307,7,2.33,0,1,6,0.4954,0.0000,5,5
PD_21008491,Future,Electronics,business,126.06,1,18,0,1,202302,2,1,0,4,4,0.0000,0.4976,6,2
PD_21000984,Government,"Home Appliance",common,420.56,2,38,1,0,202310,10,3.5,0,2,4,0.5274,0.0000,2,2
PD_21002844,Maybe,Electronics,wish,425.05,2,30,1,1,202301,1,2,0,6,13,0.4976,0.4976,7,5
PD_21003143,Radio,"Home Appliance",history,485.06,1,52,1,0,202304,4,4,0,1,1,0.5274,0.0000,4,5
PD_21005774,Crime,Books,energy,274.62,5,50,1,1,202308,8,1.2,0,10,31,0.4954,0.4954,2,2
PD_21006124,End,Fashion,environmental,414.01,5,48,1,1,202302,2,4,0,4,20,0.4980,0.4980,1,2
PD_21008898,No,Fashion,enjoy,39.9,4,60,1,1,202304,4,1.75,0,8,27,0.4980,0.4980,4,5
PD_21009149,Tough,Books,team,371.12,3,44,1,1,202311,11,2.67,0,6,26,0.4954,0.4954,4,2
PD_21000152,With,Fashion,per,318.07,4,44,1,1,202307,7,3.25,1,13,29,0.4980,0.4980,1,-1
PD_21009869,Seek,"Home Appliance",offer,370.31,4,34,1,1,202302,2,2.75,0,9,37,0.5274,0.5274,7,2
PD_21001394,Class,Electronics,while,93.63,4,41,1,1,202309,9,2,1,4,19,0.4976,0.4976,4,2
PD_21008075,Owner,"Home Appliance",poor,143.52,3,57,1,1,202304,4,2,1,16,20,0.5274,0.5274,1,5
PD_21003893,Discuss,Fitness,test,120.6,3,46,1,0,202301,1,4,1,18,28,0.5248,0.0000,4,2
PD_21007454,Single,Fashion,join,181.49,3,48,1,1,202309,9,4.67,1,9,17,0.4980,0.4980,1,5
PD_21008115,Gas,Electronics,hospital,468.85,4,36,1,1,202304,4,1.75,1,13,22,0.4976,0.4976,4,2
PD_21004313,Performance,Electronics,rate,254.59,9,44,1,1,202301,1,2.67,1,11,42,0.4976,0.4976,2,5
PD_21000242,Already,Electronics,eye,274.53,3,42,1,1,202309,9,1.67,0,8,13,0.4976,0.4976,2,2
PD_21003871,Item,Fashion,parent,111.99,3,40,1,0,202312,12,3,0,7,15,0.4980,0.0000,3,2
PD_21004031,Chair,"Home Appliance",clear,358.97,4,27,1,0,202309,9,3.5,0,8,32,0.5274,0.0000,7,2
PD_21004051,North,Books,laugh,72.09,1,52,1,0,202312,12,4,0,6,6,0.4954,0.0000,2,0
PD_21004239,Light,"Home Appliance",center,178.03,1,70,0,1,202411,11,1,0,10,10,0.0000,0.5274,5,-4
PD_21005505,Join,Fashion,performance,173.5,3,41,0,1,202308,8,4.67,0,8,24,0.0000,0.4980,3,2
PD_21007081,Their,Fashion,me,266.77,3,45,1,1,202311,11,1.67,0,8,23,0.4980,0.4980,1,2
PD_21007128,Anyone,Electronics,democratic,376.88,3,43,1,1,202302,2,2.67,0,4,16,0.4976,0.4976,2,2
PD_21007361,Realize,Books,front,294.66,2,25,0,1,202402,2,3,0,3,6,0.0000,0.4954,6,1
PD_21007431,Continue,Books,seem,368.45,2,22,1,0,202305,5,3.5,0,6,12,0.4954,0.0000,6,6
PD_21008289,Outside,"Home Appliance",voice,234.2,2,26,1,0,202301,1,2,0,3,6,0.5274,0.0000,7,5
PD_21008648,Go,Fashion,change,367.34,2,55,1,1,202302,2,1,0,4,5,0.4980,0.4980,2,2
PD_21009534,List,Fitness,value,10.75,1,58,0,1,202410,10,5,0,2,2,0.0000,0.5248,1,2
PD_21009722,Hour,"Home Appliance",something,228.21,4,23,1,0,202310,10,2.75,0,9,36,0.5274,0.0000,6,2
PD_21001648,,Electronics,use,25.8,1,37,1,0,202406,6,5,0,6,6,0.4976,0.0000,4,2
PD_21001890,Painting,Electronics,discover,216,6,45,1,0,202305,5,2.83,0,4,22,0.4976,0.0000,2,2
PD_21001961,Visit,Fashion,easy,51.56,1,48,1,0,202403,3,1,0,2,2,0.4980,0.0000,1,2
PD_21006469,Sense,Fashion,evidence,344.8,3,51,1,0,202305,5,0.67,0,8,22,0.4980,0.0000,2,-1
PD_21007942,Difference,Fashion,one,13.27,2,25,1,0,202304,4,3.5,0,9,18,0.4980,0.0000,7,5
PD_21001184,Example,Books,young,386.03,3,45,0,1,202405,5,1.33,0,6,18,0.0000,0.4954,4,6
PD_21001693,Agent,Books,physical,135.69,2,40,1,1,202305,5,1,0,6,10,0.4954,0.4954,3,6
PD_21002131,Teach,"Home Appliance",budget,107.88,2,27,1,0,202305,5,2.5,0,3,6,0.5274,0.0000,7,-1
PD_21003301,Really,"Home Appliance",together,322.52,2,34,1,1,202302,2,2.5,0,3,5,0.5274,0.5274,7,2
PD_21004145,Live,Fitness,stand,204.93,4,61,0,1,202301,1,2,0,10,23,0.0000,0.5248,1,2
PD_21004605,Can,Books,more,59.45,2,38,1,1,202301,1,1.5,0,9,15,0.4954,0.4954,3,1
PD_21006302,Particular,"Home Appliance",trade,295.11,3,59,0,1,202302,2,4,0,1,3,0.0000,0.5274,1,2
